epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0372,1.03447,1.4716,0.21847,0.69747,1.44045,0.99965,0.98413,0.985,0.69336,0.99428,0.97884,0.9721,0.80217,1.04796,0.74227,0.08258,0.37194,1.49337,0.000328283,0.000328283,0.0675
2,77.6599,0.99261,1.34733,0.21324,0.55164,1.39229,0.99967,0.98413,0.985,0.70853,0.99429,0.97884,0.97237,0.78621,1.02107,0.73113,0.08661,0.35778,1.4632,0.000655066,0.000655066,0.0344934
3,94.7753,0.96655,1.23994,0.20572,0.50466,1.3734,0.99964,0.98413,0.985,0.7051,0.99427,0.97884,0.97312,0.7804,1.05202,0.74721,0.09226,0.3651,1.49612,0.000975249,0.000975249,0.0014803
1,34.8574,1.03447,1.4716,0.21847,0.69747,1.44045,0.99965,0.98413,0.985,0.69336,0.99428,0.97884,0.9721,0.80217,1.04796,0.74227,0.08258,0.37194,1.49337,0.000328283,0.000328283,0.0675
4,125.283,0.97041,1.19921,0.20069,0.4894,1.38517,0.99964,0.98413,0.985,0.68432,0.99426,0.97884,0.97274,0.77994,1.08964,0.7423,0.09714,0.36448,1.52582,0.0009703,0.0009703,0.0009703
2,82.1149,0.99261,1.34733,0.21324,0.55164,1.39229,0.99967,0.98413,0.985,0.70853,0.99429,0.97884,0.97237,0.78621,1.02107,0.73113,0.08661,0.35778,1.4632,0.000655066,0.000655066,0.0344934
5,166.114,0.97984,1.22271,0.19602,0.48784,1.38799,0.99965,0.98413,0.985,0.69069,0.99428,0.97884,0.97231,0.77526,1.0868,0.76511,0.10152,0.36625,1.52202,0.0009604,0.0009604,0.0009604
3,120.526,0.96655,1.23994,0.20572,0.50466,1.3734,0.99964,0.98413,0.985,0.7051,0.99427,0.97884,0.97312,0.7804,1.05202,0.74721,0.09226,0.3651,1.49612,0.000975249,0.000975249,0.0014803
6,209.494,0.96732,1.13909,0.19604,0.48304,1.38619,0.99964,0.98413,0.985,0.70018,0.99427,0.97884,0.97194,0.785,1.03348,0.74089,0.10647,0.36121,1.4743,0.0009505,0.0009505,0.0009505
4,159.074,0.97041,1.19921,0.20069,0.4894,1.38517,0.99964,0.98413,0.985,0.68432,0.99426,0.97884,0.97274,0.77994,1.08964,0.7423,0.09714,0.36448,1.52582,0.0009703,0.0009703,0.0009703
