epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4021,1.40844,1.52745,0.19144,0.67941,1.81327,0.99963,0.98413,0.985,0.68699,0.99425,0.97884,0.97231,0.80017,1.07971,0.7252,0.11717,0.35881,1.53034,0.000164141,0.000164141,0.0673359
2,46.5907,1.2721,1.35815,0.1888,0.651,1.64877,0.9996,0.98413,0.985,0.65529,0.99422,0.97884,0.97226,0.7976,1.18454,0.74022,0.11351,0.38548,1.62917,0.000327533,0.000327533,0.0341659
3,69.2089,1.21763,1.24236,0.18316,0.63911,1.61294,0.9996,0.98413,0.985,0.6571,0.99422,0.97884,0.97215,0.7913,1.1973,0.73932,0.11392,0.39038,1.63964,0.000487625,0.000487625,0.000992675
4,107.214,1.20532,1.20858,0.18156,0.62111,1.57139,0.99959,0.98413,0.985,0.6414,0.99422,0.97884,0.97194,0.76791,1.27537,0.76971,0.11352,0.40607,1.72242,0.00048515,0.00048515,0.00048515
5,145.561,1.17009,1.11442,0.18044,0.5993,1.56048,0.9996,0.98413,0.985,0.66595,0.99422,0.97884,0.97194,0.76822,1.19428,0.80384,0.11509,0.39869,1.64724,0.0004802,0.0004802,0.0004802
6,177.055,1.16248,1.1071,0.17734,0.61548,1.56554,0.9996,0.98413,0.985,0.64945,0.99423,0.97884,0.97204,0.79022,1.24775,0.74678,0.11413,0.40375,1.70173,0.00047525,0.00047525,0.00047525
7,219.461,1.15652,1.09717,0.17894,0.59781,1.52331,0.99959,0.98413,0.985,0.68073,0.99421,0.97884,0.97215,0.76905,1.12023,0.80405,0.11431,0.39344,1.56718,0.0004703,0.0004703,0.0004703
8,259.024,1.1357,0.9825,0.17459,0.59599,1.52339,0.9996,0.98413,0.985,0.6545,0.99422,0.97884,0.97194,0.78403,1.2349,0.74072,0.11214,0.39593,1.68676,0.00046535,0.00046535,0.00046535
9,290.52,1.11379,1.00665,0.17516,0.58438,1.48236,0.99961,0.98413,0.985,0.67838,0.99423,0.97884,0.97204,0.79098,1.1345,0.74847,0.1132,0.38104,1.58348,0.0004604,0.0004604,0.0004604
10,320.531,1.11644,1.053,0.17754,0.58457,1.4909,0.99961,0.98413,0.985,0.64693,0.99424,0.97884,0.97258,0.79302,1.24206,0.75693,0.11034,0.40103,1.70441,0.00045545,0.00045545,0.00045545
11,349.64,1.10782,1.02927,0.1769,0.58796,1.48006,0.99962,0.98413,0.985,0.66639,0.99424,0.97884,0.97258,0.79184,1.17231,0.74966,0.11243,0.38955,1.63869,0.0004505,0.0004505,0.0004505
12,363.83,1.08673,0.97003,0.1761,0.56009,1.46169,0.99961,0.98413,0.985,0.68527,0.99423,0.97884,0.9722,0.77994,1.11348,0.76698,0.11312,0.39054,1.57784,0.00044555,0.00044555,0.00044555
13,383.224,1.09259,0.90834,0.17125,0.57165,1.48435,0.99961,0.98413,0.985,0.66688,0.99424,0.97884,0.97194,0.8086,1.1591,0.71226,0.11221,0.39054,1.61053,0.0004406,0.0004406,0.0004406
14,393.419,1.11069,0.97066,0.1734,0.59071,1.49753,0.99961,0.98413,0.985,0.66948,0.99423,0.97884,0.97215,0.777,1.14523,0.78907,0.11183,0.39269,1.60292,0.00043565,0.00043565,0.00043565
15,403.59,1.07487,0.97506,0.17405,0.55529,1.45309,0.99961,0.98413,0.985,0.67834,0.99423,0.97884,0.9722,0.78548,1.12986,0.76238,0.11107,0.39505,1.58488,0.0004307,0.0004307,0.0004307
16,413.346,1.08382,0.93707,0.17244,0.55706,1.45855,0.99961,0.98413,0.985,0.68884,0.99423,0.97884,0.97231,0.80567,1.10217,0.72581,0.1117,0.37964,1.55308,0.00042575,0.00042575,0.00042575
17,425.324,1.09387,0.90543,0.17223,0.57351,1.47171,0.99959,0.98413,0.985,0.67778,0.99422,0.97884,0.97247,0.80654,1.12868,0.72717,0.11082,0.39153,1.58169,0.0004208,0.0004208,0.0004208
18,455.777,1.07642,0.9433,0.17006,0.5755,1.46127,0.99958,0.98413,0.985,0.67186,0.99421,0.97884,0.97247,0.78558,1.13995,0.78019,0.10979,0.38903,1.59775,0.00041585,0.00041585,0.00041585
19,493.847,1.08177,0.94867,0.17263,0.56862,1.45631,0.99961,0.98413,0.985,0.69858,0.99423,0.97884,0.97253,0.79636,1.07189,0.73727,0.1121,0.39566,1.52887,0.0004109,0.0004109,0.0004109
20,535.062,1.07178,0.98753,0.17339,0.57087,1.46887,0.9996,0.98413,0.985,0.67381,0.99422,0.97884,0.97247,0.79076,1.14215,0.74188,0.11218,0.39358,1.60886,0.00040595,0.00040595,0.00040595
21,573.146,1.05812,0.94079,0.17267,0.55685,1.46001,0.99963,0.98413,0.985,0.6634,0.99425,0.97884,0.97247,0.7849,1.16693,0.76514,0.10992,0.39702,1.62725,0.000401,0.000401,0.000401
22,611.054,1.062,0.89443,0.17186,0.55542,1.44828,0.99963,0.98413,0.985,0.6715,0.99425,0.97884,0.97242,0.78149,1.15309,0.7968,0.10923,0.40052,1.60638,0.00039605,0.00039605,0.00039605
23,649.483,1.05951,0.89614,0.16761,0.5451,1.4383,0.99962,0.98413,0.985,0.68321,0.99424,0.97884,0.97237,0.78923,1.11539,0.75568,0.11005,0.40361,1.57682,0.0003911,0.0003911,0.0003911
24,662.606,1.06255,0.91826,0.16933,0.56788,1.45648,0.99962,0.98413,0.985,0.66029,0.99425,0.97884,0.97247,0.7855,1.18331,0.76729,0.10805,0.39459,1.65624,0.00038615,0.00038615,0.00038615
25,673.175,1.05734,0.888,0.16926,0.55636,1.45581,0.99963,0.98413,0.985,0.69049,0.99425,0.97884,0.97231,0.79554,1.09908,0.75297,0.11102,0.39413,1.56005,0.0003812,0.0003812,0.0003812
26,683.562,1.07654,0.95098,0.16911,0.55768,1.45911,0.99963,0.98413,0.985,0.69279,0.99425,0.97884,0.97253,0.79513,1.06932,0.73506,0.11168,0.40185,1.52578,0.00037625,0.00037625,0.00037625
27,693.624,1.06191,0.92536,0.16924,0.55152,1.43911,0.99962,0.98413,0.985,0.6791,0.99425,0.97884,0.97237,0.79362,1.12439,0.73857,0.1111,0.40243,1.58919,0.0003713,0.0003713,0.0003713
28,703.833,1.06094,0.8554,0.16617,0.55207,1.42999,0.99963,0.98413,0.985,0.68058,0.99426,0.97884,0.97231,0.79327,1.12398,0.74866,0.11064,0.40189,1.58051,0.00036635,0.00036635,0.00036635
29,714.37,1.04061,0.91904,0.16772,0.54076,1.43021,0.99962,0.98413,0.985,0.69552,0.99424,0.97884,0.97237,0.78552,1.07643,0.75081,0.1102,0.40253,1.53143,0.0003614,0.0003614,0.0003614
30,724.836,1.04954,0.90294,0.16802,0.5526,1.43693,0.99961,0.98413,0.985,0.6864,0.99423,0.97884,0.97215,0.77043,1.10971,0.79656,0.11029,0.39622,1.56896,0.00035645,0.00035645,0.00035645
31,735.492,1.04053,0.8847,0.16811,0.54255,1.42817,0.99961,0.98413,0.985,0.68757,0.98903,0.97354,0.97186,0.79555,1.09762,0.73238,0.11153,0.38814,1.54977,0.0003515,0.0003515,0.0003515
32,745.757,1.05331,0.86946,0.16606,0.55685,1.45034,0.9996,0.98413,0.985,0.67539,0.99423,0.97884,0.97177,0.7765,1.13118,0.79919,0.11005,0.39526,1.58933,0.00034655,0.00034655,0.00034655
33,767.895,1.03942,0.89331,0.16757,0.55045,1.44203,0.99958,0.98413,0.985,0.70139,0.99421,0.97884,0.9721,0.78775,1.06063,0.74789,0.10983,0.40011,1.52219,0.0003416,0.0003416,0.0003416
34,802.228,1.03353,0.91642,0.16834,0.54652,1.42169,0.99961,0.98413,0.985,0.68876,0.99424,0.97884,0.97215,0.78838,1.10663,0.75821,0.10857,0.38844,1.56924,0.00033665,0.00033665,0.00033665
35,828.382,1.05557,0.85039,0.16561,0.5542,1.44192,0.99961,0.98413,0.985,0.68861,0.99424,0.97884,0.97204,0.79323,1.10889,0.73885,0.10972,0.38787,1.57087,0.0003317,0.0003317,0.0003317
36,837.929,1.02461,0.83684,0.16644,0.54626,1.4193,0.99961,0.98413,0.985,0.6833,0.99423,0.97884,0.97231,0.79644,1.11246,0.73979,0.10974,0.39039,1.57664,0.00032675,0.00032675,0.00032675
37,847.534,1.03596,0.90744,0.16461,0.55191,1.43072,0.99959,0.98413,0.985,0.70097,0.99422,0.97884,0.97215,0.78127,1.06731,0.76151,0.10988,0.40369,1.52368,0.0003218,0.0003218,0.0003218
38,857.079,1.04303,0.87371,0.16465,0.55155,1.43234,0.99963,0.98413,0.985,0.69602,0.99425,0.97884,0.97242,0.78144,1.07343,0.76173,0.11002,0.38967,1.53775,0.00031685,0.00031685,0.00031685
39,866.72,1.02697,0.84943,0.16482,0.5489,1.42366,0.99964,0.98413,0.985,0.68614,0.99427,0.97884,0.9722,0.80711,1.09901,0.703,0.10886,0.39239,1.56424,0.0003119,0.0003119,0.0003119
40,876.32,1.02521,0.87901,0.1661,0.53852,1.42725,0.99963,0.98413,0.985,0.68919,0.99425,0.97884,0.97263,0.78196,1.09948,0.79252,0.10906,0.39505,1.56981,0.00030695,0.00030695,0.00030695
41,885.866,1.02816,0.87606,0.16485,0.53936,1.42538,0.99962,0.98413,0.985,0.68401,0.99425,0.97884,0.97269,0.78352,1.11009,0.7568,0.10931,0.39807,1.57244,0.000302,0.000302,0.000302
42,895.434,1.02585,0.82959,0.16518,0.53857,1.41949,0.99964,0.98413,0.985,0.69438,0.99427,0.97884,0.9728,0.79575,1.07203,0.72548,0.10913,0.40291,1.52933,0.00029705,0.00029705,0.00029705
43,905.021,1.01246,0.85947,0.16617,0.53788,1.41016,0.99964,0.98413,0.985,0.67957,0.99426,0.97884,0.97253,0.78685,1.12673,0.75611,0.10884,0.39781,1.58599,0.0002921,0.0002921,0.0002921
44,914.584,1.02589,0.83092,0.16424,0.54425,1.42507,0.99423,0.98413,0.98479,0.69042,0.98889,0.97884,0.97222,0.78479,1.10149,0.74978,0.10964,0.40753,1.56157,0.00028715,0.00028715,0.00028715
