epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5871,1.68354,8.75099,0.67036,1.59599,2.00633,0.74179,0.95238,0.86538,0.25426,0,0,0,0,2.42907,8.66809,0.58674,4.63682,4.02212,0.000649123,0.000649123,0.000649123
2,56.2304,1.34958,7.01337,0.5551,0.84377,1.67307,0.90232,0.96825,0.93674,0.48842,0.00457,0.00529,2e-05,0,1.68694,9.76005,0.30856,3.21608,2.39378,0.00130928,0.00130928,0.00130928
3,74.3721,1.37509,6.0303,0.45304,0.86656,1.69047,0.91367,0.97354,0.9133,0.48802,0.08086,0.08466,0.00739,0.00126,1.56584,7.89394,0.20923,2.26089,2.24681,0.00196283,0.00196283,0.00196283
4,92.779,1.3408,5.43194,0.38146,0.86768,1.64894,0.85507,0.81481,0.88212,0.28752,0.17665,0.18519,0.04165,0.00851,2.3513,7.78078,0.16891,4.6049,2.80135,0.0019703,0.0019703,0.0019703
5,110.38,1.33432,4.51756,0.32597,0.84552,1.65118,0.97872,0.97884,0.98453,0.57292,0.23694,0.2381,0.06558,0.01185,1.43824,6.05526,0.14112,0.78093,1.97288,0.0019604,0.0019604,0.0019604
6,126.4,1.25962,4.39096,0.29243,0.78847,1.60541,0.97888,0.98112,0.98474,0.53034,0.31035,0.31217,0.10649,0.02138,1.56629,4.98744,0.13033,0.74668,2.12829,0.0019505,0.0019505,0.0019505
7,142.33,1.2178,3.73352,0.26981,0.76129,1.57005,0.9982,0.98413,0.985,0.54251,0.77274,0.7619,0.59265,0.22946,1.47697,2.80913,0.14847,0.70725,1.97151,0.0019406,0.0019406,0.0019406
8,159.261,1.24541,3.65666,0.26739,0.75814,1.56219,0.99716,0.98413,0.985,0.5396,0.83613,0.8254,0.72935,0.25454,1.49999,2.78769,0.12105,0.88172,2.03808,0.0019307,0.0019307,0.0019307
9,175.512,1.20951,3.39832,0.24685,0.72235,1.57381,0.99578,0.98413,0.98944,0.63264,0.89461,0.8836,0.83967,0.34319,1.24302,2.54469,0.12565,0.62491,1.7225,0.0019208,0.0019208,0.0019208
10,197.81,1.22481,3.32772,0.24131,0.74209,1.56172,0.98384,0.98413,0.98468,0.61661,0.96038,0.94709,0.93175,0.4349,1.29245,2.35787,0.13841,0.5895,1.77227,0.0019109,0.0019109,0.0019109
11,219.723,1.18664,3.01033,0.23393,0.72564,1.55079,0.99877,0.98413,0.985,0.63957,0.86448,0.85185,0.77295,0.3599,1.21322,2.38621,0.13406,0.61627,1.64282,0.001901,0.001901,0.001901
12,238.098,1.19638,3.22737,0.22924,0.70271,1.52881,0.99148,0.98413,0.98495,0.67447,0.97631,0.96825,0.96102,0.50322,1.14111,1.65152,0.11703,0.68987,1.60621,0.0018911,0.0018911,0.0018911
13,258.199,1.18706,2.97193,0.2239,0.68848,1.52397,0.99707,0.98413,0.985,0.62712,0.96002,0.94709,0.92827,0.48594,1.28221,2.0087,0.12188,0.56513,1.73412,0.0018812,0.0018812,0.0018812
14,277.308,1.17633,2.74128,0.22174,0.67652,1.52323,0.99931,0.98413,0.985,0.63658,0.97782,0.96296,0.9579,0.63155,1.23017,1.42701,0.12927,0.50304,1.7239,0.0018713,0.0018713,0.0018713
15,291.696,1.16567,2.75267,0.21441,0.67812,1.51057,0.99992,0.98413,0.985,0.63149,0.98818,0.96825,0.9578,0.62836,1.2427,1.28182,0.12643,0.52376,1.73476,0.0018614,0.0018614,0.0018614
16,303.511,1.15254,2.81706,0.21469,0.67153,1.49773,0.99944,0.98413,0.985,0.65231,0.97298,0.95767,0.94521,0.60289,1.18089,1.4105,0.13565,0.53274,1.66376,0.0018515,0.0018515,0.0018515
17,317.187,1.15396,2.64226,0.21292,0.66539,1.49819,0.99888,0.98413,0.985,0.6606,0.94584,0.93122,0.91755,0.53465,1.17568,1.49691,0.13578,0.52115,1.64726,0.0018416,0.0018416,0.0018416
18,341.696,1.13132,2.48227,0.21067,0.65771,1.48423,0.99872,0.98413,0.985,0.68611,0.97187,0.95767,0.94745,0.5423,1.10991,1.5881,0.12512,0.48635,1.59168,0.0018317,0.0018317,0.0018317
19,362.452,1.13974,2.58023,0.20627,0.64754,1.48461,0.99603,0.98413,0.985,0.69733,0.97996,0.96825,0.95194,0.59687,1.09529,1.1834,0.13112,0.5001,1.53782,0.0018218,0.0018218,0.0018218
20,384.389,1.10874,2.44275,0.20497,0.62987,1.4702,1,0.9831,0.985,0.69097,0.98253,0.96296,0.95407,0.53841,1.1222,1.48839,0.12264,0.48493,1.54947,0.0018119,0.0018119,0.0018119
21,410.49,1.09507,2.30297,0.20586,0.61492,1.46102,0.99963,0.98413,0.985,0.66901,0.98888,0.97354,0.97396,0.67964,1.13636,1.20386,0.13048,0.46663,1.59949,0.001802,0.001802,0.001802
