epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1813,1.70712,9.17941,0.66679,1.68891,2.03821,0.98393,0.98413,0.98446,0.53301,0.00541,0.00529,0.0005,5e-05,1.48418,9.23825,0.58847,1.54471,2.14954,0.000649123,0.000649123,0.000649123
2,57.7359,1.34717,7.47618,0.5423,0.78943,1.67179,0.92432,0.97884,0.97536,0.54074,0.02013,0.02116,0.00052,8e-05,1.43147,8.21261,0.29347,1.16532,2.12941,0.00128974,0.00128974,0.00128974
3,64.8515,1.29455,6.44643,0.44466,0.82865,1.63955,0.88108,0.96825,0.96627,0.43811,0.0098,0.01058,0.00032,3e-05,1.68696,9.07872,0.12794,2.2213,2.70511,0.00190395,0.00190395,0.00190395
4,82.1169,1.28391,5.70923,0.38023,0.79042,1.61575,0.90471,0.95443,0.96281,0.59931,0.22967,0.17989,0.07321,0.01188,1.37036,6.04997,0.13481,1.20917,1.93874,0.0018812,0.0018812,0.0018812
5,101.01,1.27778,4.93874,0.32713,0.78746,1.61068,0.95845,0.97644,0.9723,0.54356,0.23482,0.25397,0.06311,0.01914,1.36799,5.82794,0.10205,0.98323,1.83466,0.0018416,0.0018416,0.0018416
6,111.569,1.25358,4.68253,0.29829,0.75683,1.59537,0.98928,0.97884,0.98398,0.43433,0.21956,0.21693,0.04812,0.00809,1.8061,5.04658,0.11655,0.80953,2.46242,0.001802,0.001802,0.001802
7,125.735,1.1901,3.91962,0.2837,0.71637,1.54162,0.99176,0.98413,0.98489,0.64591,0.81976,0.80952,0.72336,0.26463,1.19512,2.93486,0.13951,0.56303,1.70167,0.0017624,0.0017624,0.0017624
8,138.581,1.19023,3.95193,0.26618,0.71371,1.52833,0.9982,0.98413,0.985,0.59643,0.83176,0.82011,0.69421,0.26999,1.38933,2.45141,0.11472,0.54552,1.90258,0.0017228,0.0017228,0.0017228
9,154.354,1.13725,3.56503,0.24661,0.66577,1.50739,0.97803,0.97884,0.98453,0.59454,0.80667,0.80952,0.68538,0.2798,1.37643,2.6017,0.11934,0.61422,1.85306,0.0016832,0.0016832,0.0016832
10,166.619,1.17565,3.20598,0.24309,0.69304,1.51536,0.99256,0.98413,0.985,0.62539,0.95556,0.94709,0.91793,0.35257,1.28846,2.3586,0.13872,0.62484,1.76729,0.0016436,0.0016436,0.0016436
11,183.251,1.1479,2.89541,0.23939,0.68119,1.52297,0.99542,0.98413,0.985,0.63834,0.97922,0.96825,0.95539,0.5387,1.25031,1.57282,0.12743,0.53004,1.73959,0.001604,0.001604,0.001604
12,190.796,1.13092,3.07682,0.23324,0.65465,1.48406,0.99939,0.98413,0.985,0.66827,0.98865,0.97354,0.97019,0.62378,1.13468,1.43132,0.13502,0.47728,1.58153,0.0015644,0.0015644,0.0015644
13,198.178,1.12429,2.73713,0.23099,0.64566,1.47434,0.99424,0.98413,0.98495,0.70804,0.9782,0.96825,0.95548,0.57029,1.05391,1.44912,0.13406,0.46364,1.49321,0.0015248,0.0015248,0.0015248
14,210.209,1.11665,2.57427,0.22485,0.63173,1.47582,1,0.97869,0.98412,0.65664,0.98919,0.96812,0.957,0.63631,1.18237,1.39732,0.12812,0.47442,1.63419,0.0014852,0.0014852,0.0014852
15,236.844,1.08363,2.62191,0.225,0.62114,1.45791,0.99962,0.98413,0.985,0.60308,0.95135,0.93651,0.91142,0.43262,1.38514,1.75511,0.11831,0.52018,1.89122,0.0014456,0.0014456,0.0014456
16,264.638,1.08762,2.50793,0.22092,0.61187,1.45389,0.99416,0.98413,0.985,0.65121,0.98347,0.97354,0.97118,0.60002,1.16731,1.28762,0.12912,0.50077,1.64826,0.001406,0.001406,0.001406
17,275.751,1.0907,2.37188,0.21544,0.60449,1.45358,0.99961,0.98413,0.985,0.68847,0.98886,0.97354,0.97231,0.64576,1.08129,1.28624,0.1332,0.44043,1.52732,0.0013664,0.0013664,0.0013664
18,282.547,1.07855,2.22064,0.21424,0.59518,1.44955,0.99913,0.98413,0.985,0.68193,0.98301,0.96825,0.96151,0.64613,1.12874,1.28424,0.13624,0.45601,1.57193,0.0013268,0.0013268,0.0013268
19,295.629,1.08324,2.29346,0.21084,0.60647,1.44934,0.9996,0.98413,0.985,0.67127,0.97824,0.96296,0.95605,0.6447,1.13147,1.25527,0.13656,0.45269,1.58615,0.0012872,0.0012872,0.0012872
